dataset,row_index,source_id,speaker_id,source_label,unified_style,target_e2v,predicted,score,direct_evaluable,direct_match,labels_json,scores_json
CREMA-D,1053,1014_DFA_ANG_XX.wav,1014,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1135,1015_DFA_ANG_XX.wav,1015,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1217,1016_DFA_ANG_XX.wav,1016,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1299,1017_DFA_ANG_XX.wav,1017,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1381,1018_DFA_ANG_XX.wav,1018,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1463,1019_DFA_ANG_XX.wav,1019,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1539,1020_DFA_ANG_XX.wav,1020,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1621,1021_DFA_ANG_XX.wav,1021,anger,anger,angry,angry,0.9998,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.999759, 0.000218, 0.0, 0.0, 2.2e-05, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1703,1022_DFA_ANG_XX.wav,1022,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1785,1023_DFA_ANG_XX.wav,1023,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1867,1024_DFA_ANG_XX.wav,1024,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,1949,1025_DFA_ANG_XX.wav,1025,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2031,1026_DFA_ANG_XX.wav,1026,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2113,1027_DFA_ANG_XX.wav,1027,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2195,1028_DFA_ANG_XX.wav,1028,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2277,1029_DFA_ANG_XX.wav,1029,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2359,1030_DFA_ANG_XX.wav,1030,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2441,1031_DFA_ANG_XX.wav,1031,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2523,1032_DFA_ANG_XX.wav,1032,anger,anger,angry,disgusted,0.9990,1,0,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.000927, 0.998996, 8e-06, 2.8e-05, 1.2e-05, 1.1e-05, 5e-06, 1.3e-05, 0.0]"
CREMA-D,2605,1033_DFA_ANG_XX.wav,1033,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,2687,1034_DFA_ANG_XX.wav,1034,anger,anger,angry,angry,0.9160,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.916016, 0.083974, 1e-06, 3e-06, 1e-06, 0.0, 3e-06, 3e-06, 0.0]"
CREMA-D,2769,1035_DFA_ANG_XX.wav,1035,anger,anger,angry,disgusted,0.9646,1,0,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.035267, 0.964602, 2.2e-05, 3.7e-05, 1e-06, 5e-06, 6e-06, 5.9e-05, 0.0]"
CREMA-D,2851,1036_DFA_ANG_XX.wav,1036,anger,anger,angry,disgusted,0.7735,1,0,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.226054, 0.77348, 6.4e-05, 6.4e-05, 1e-06, 4.5e-05, 0.000236, 5.6e-05, 0.0]"
CREMA-D,2933,1037_DFA_ANG_XX.wav,1037,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3015,1038_DFA_ANG_XX.wav,1038,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3097,1039_DFA_ANG_XX.wav,1039,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3179,1040_DFA_ANG_XX.wav,1040,anger,anger,angry,neutral,0.9213,1,0,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.077925, 0.00069, 1.9e-05, 8e-06, 0.921301, 1e-06, 2.4e-05, 3.1e-05, 0.0]"
CREMA-D,3261,1041_DFA_ANG_XX.wav,1041,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3343,1042_DFA_ANG_XX.wav,1042,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3425,1043_DFA_ANG_XX.wav,1043,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3507,1044_DFA_ANG_XX.wav,1044,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3589,1045_DFA_ANG_XX.wav,1045,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.999984, 1.6e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3671,1046_DFA_ANG_XX.wav,1046,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3753,1047_DFA_ANG_XX.wav,1047,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3835,1048_DFA_ANG_XX.wav,1048,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3917,1049_DFA_ANG_XX.wav,1049,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,3999,1050_DFA_ANG_XX.wav,1050,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4081,1051_DFA_ANG_XX.wav,1051,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4163,1052_DFA_ANG_XX.wav,1052,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4245,1053_DFA_ANG_XX.wav,1053,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4327,1054_DFA_ANG_XX.wav,1054,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4409,1055_DFA_ANG_XX.wav,1055,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4491,1056_DFA_ANG_XX.wav,1056,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4573,1057_DFA_ANG_XX.wav,1057,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4655,1058_DFA_ANG_XX.wav,1058,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4737,1059_DFA_ANG_XX.wav,1059,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4819,1060_DFA_ANG_XX.wav,1060,anger,anger,angry,angry,0.9993,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.999269, 0.000729, 0.0, 0.0, 0.0, 0.0, 1e-06, 0.0, 0.0]"
CREMA-D,4901,1061_DFA_ANG_XX.wav,1061,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,4983,1062_DFA_ANG_XX.wav,1062,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5065,1063_DFA_ANG_XX.wav,1063,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5147,1064_DFA_ANG_XX.wav,1064,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5229,1065_DFA_ANG_XX.wav,1065,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5311,1066_DFA_ANG_XX.wav,1066,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5393,1067_DFA_ANG_XX.wav,1067,anger,anger,angry,angry,0.8417,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.841724, 0.018586, 0.094904, 0.002778, 0.002877, 0.003103, 0.02804, 0.00797, 1.7e-05]"
CREMA-D,5475,1068_DFA_ANG_XX.wav,1068,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5557,1069_DFA_ANG_XX.wav,1069,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5639,1070_DFA_ANG_XX.wav,1070,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.999999, 1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5721,1071_DFA_ANG_XX.wav,1071,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5803,1072_DFA_ANG_XX.wav,1072,anger,anger,angry,neutral,1.0000,1,0,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[3e-06, 2e-06, 0.0, 6e-06, 0.99999, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5885,1073_DFA_ANG_XX.wav,1073,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,5967,1074_DFA_ANG_XX.wav,1074,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6049,1075_DFA_ANG_XX.wav,1075,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6131,1076_DFA_ANG_XX.wav,1076,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6212,1077_DFA_ANG_XX.wav,1077,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6294,1078_DFA_ANG_XX.wav,1078,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6376,1079_DFA_ANG_XX.wav,1079,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6458,1080_DFA_ANG_XX.wav,1080,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6540,1081_DFA_ANG_XX.wav,1081,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6622,1082_DFA_ANG_XX.wav,1082,anger,anger,angry,angry,0.9999,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[0.999858, 0.0, 0.0, 2e-06, 3e-06, 0.0, 0.0, 0.000136, 0.0]"
CREMA-D,6704,1083_DFA_ANG_XX.wav,1083,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6786,1084_DFA_ANG_XX.wav,1084,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6868,1085_DFA_ANG_XX.wav,1085,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CREMA-D,6950,1086_DFA_ANG_XX.wav,1086,anger,anger,angry,angry,1.0000,1,1,"[""angry"", ""disgusted"", ""fearful"", ""happy"", ""neutral"", ""other"", ""sad"", ""surprised"", ""<unk>""]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
