condition,source_stem,style,source_file,audio_file,style_strength,predicted,target,match,score,emo_sim,novelty_gain_vs_baseline,wer,mos,mos_delta_vs_baseline
legacy_combined,cremad_1004,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_happy.wav,5.0,neutral,happy,0,0.9181,0.9852,0.0787,0.0000,3.9655,+0.0442
current_reference_guard,cremad_1004,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_happy.wav,5.0,happy,happy,1,0.9836,0.9246,0.2500,0.0000,3.9507,-0.0125
legacy_combined,cremad_1004,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_neutral.wav,5.0,neutral,neutral,1,0.8309,0.9792,0.0892,0.0000,3.8852,-0.0361
current_reference_guard,cremad_1004,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_neutral.wav,5.0,neutral,neutral,1,0.8275,0.9805,0.2799,0.0000,3.9532,-0.0100
legacy_combined,cremad_1004,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_sad.wav,5.0,neutral,sad,0,0.9968,0.9940,0.1125,0.0000,3.9209,-0.0004
current_reference_guard,cremad_1004,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_sad.wav,3.5,sad,sad,1,0.7634,0.9620,0.1027,0.0000,3.8999,-0.0633
legacy_combined,cremad_1004,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_whisper.wav,5.0,happy,,,0.5712,0.8657,0.6783,0.0000,3.9004,-0.0209
current_reference_guard,cremad_1004,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_whisper.wav,5.0,angry,,,0.3547,0.8744,0.7136,0.0000,3.8680,-0.0952
legacy_combined,cremad_1006,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_anger.wav,5.0,<unk>,angry,0,0.8515,0.9451,0.2041,0.0000,3.9621,+0.0001
current_reference_guard,cremad_1006,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_anger.wav,5.0,neutral,angry,0,0.8834,0.9470,0.3805,0.0000,3.2689,-0.6623
legacy_combined,cremad_1006,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9620,
current_reference_guard,cremad_1006,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9312,
legacy_combined,cremad_1006,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_confused.wav,5.0,neutral,,,0.9711,0.9768,0.7145,0.0000,2.8003,-1.1617
current_reference_guard,cremad_1006,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_confused.wav,4.0,neutral,,,0.9997,0.9934,0.3570,0.1667,2.7601,-1.1711
legacy_combined,cremad_1006,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_disgust.wav,5.0,neutral,disgusted,0,0.9771,0.9732,0.1721,0.0000,3.9173,-0.0447
current_reference_guard,cremad_1006,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_disgust.wav,5.0,neutral,disgusted,0,0.9999,0.9970,0.2396,0.0000,3.9600,+0.0288
legacy_combined,cremad_1006,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_enunciated.wav,5.0,neutral,,,0.9965,0.9892,0.5029,0.1667,3.9468,-0.0152
current_reference_guard,cremad_1006,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_enunciated.wav,2.5,neutral,,,1.0000,0.9969,0.1676,0.0000,3.9234,-0.0078
legacy_combined,cremad_1006,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_fear.wav,5.0,neutral,fearful,0,0.9232,0.9666,0.1765,0.0000,3.9763,+0.0143
current_reference_guard,cremad_1006,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_fear.wav,5.0,happy,fearful,0,0.9444,0.8977,0.3373,0.0000,3.9562,+0.0250
legacy_combined,cremad_1006,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_happy.wav,5.0,neutral,happy,0,0.9611,0.9812,0.1178,0.0000,3.9757,+0.0137
current_reference_guard,cremad_1006,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_happy.wav,5.0,happy,happy,1,0.6490,0.9100,0.2683,0.0000,3.9172,-0.0140
legacy_combined,cremad_1006,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_neutral.wav,5.0,neutral,neutral,1,0.9824,0.9848,0.0728,0.0000,3.9531,-0.0089
current_reference_guard,cremad_1006,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_neutral.wav,5.0,neutral,neutral,1,0.9692,0.9790,0.3035,0.0000,3.7489,-0.1823
legacy_combined,cremad_1006,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_sad.wav,5.0,sad,sad,1,0.9868,0.9408,0.1363,0.0000,3.9534,-0.0086
current_reference_guard,cremad_1006,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_sad.wav,3.5,neutral,sad,0,0.8969,0.9780,0.0379,0.0000,3.8581,-0.0731
legacy_combined,cremad_1006,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1006_whisper.wav,5.0,disgusted,,,0.9835,0.8278,0.7148,0.8333,3.7906,-0.1714
current_reference_guard,cremad_1006,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1006.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_whisper.wav,5.0,disgusted,,,0.9926,0.7571,0.7064,0.1667,3.4437,-0.4875
legacy_combined,cremad_1007,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_anger.wav,5.0,angry,angry,1,0.5332,0.9066,0.1967,0.3750,3.9647,+0.0386
current_reference_guard,cremad_1007,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_anger.wav,5.0,disgusted,angry,0,0.7084,0.9067,0.3697,0.7500,3.9257,+0.0428
legacy_combined,cremad_1007,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_baseline.wav,0.0,neutral,,,0.9999,,0.0000,0.0000,3.9261,
current_reference_guard,cremad_1007,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.8829,
legacy_combined,cremad_1007,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_confused.wav,5.0,sad,,,0.9932,0.9449,0.6977,0.2500,3.3475,-0.5786
current_reference_guard,cremad_1007,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_confused.wav,4.0,sad,,,0.9962,0.9157,0.2910,0.0000,3.5728,-0.3101
legacy_combined,cremad_1007,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_disgust.wav,5.0,neutral,disgusted,0,0.9988,0.9851,0.1670,0.3750,3.8720,-0.0541
current_reference_guard,cremad_1007,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_disgust.wav,5.0,neutral,disgusted,0,0.9999,0.9924,0.1234,0.3750,3.9564,+0.0735
legacy_combined,cremad_1007,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_enunciated.wav,5.0,sad,,,0.9931,0.9436,0.4521,0.5000,3.9720,+0.0459
current_reference_guard,cremad_1007,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_enunciated.wav,2.5,neutral,,,0.9108,0.9624,0.0810,0.3750,3.9023,+0.0194
legacy_combined,cremad_1007,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_fear.wav,5.0,sad,fearful,0,0.9962,0.9317,0.1614,0.0000,3.9662,+0.0401
current_reference_guard,cremad_1007,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_fear.wav,5.0,sad,fearful,0,0.9864,0.8913,0.3855,0.5000,3.9634,+0.0805
legacy_combined,cremad_1007,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_happy.wav,5.0,neutral,happy,0,0.9890,0.9874,0.1121,0.1250,3.9684,+0.0423
current_reference_guard,cremad_1007,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_happy.wav,5.0,happy,happy,1,0.9373,0.8969,0.1582,1.0000,3.8720,-0.0109
legacy_combined,cremad_1007,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_neutral.wav,5.0,sad,neutral,0,0.5046,0.9664,0.0961,0.0000,3.9158,-0.0103
current_reference_guard,cremad_1007,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_neutral.wav,5.0,sad,neutral,0,0.8724,0.9439,0.2903,0.3750,3.7505,-0.1324
legacy_combined,cremad_1007,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_sad.wav,5.0,neutral,sad,0,0.8132,0.9738,0.1884,0.3750,3.8979,-0.0282
current_reference_guard,cremad_1007,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_sad.wav,3.5,sad,sad,1,0.8654,0.9558,0.0630,0.7500,3.8955,+0.0126
legacy_combined,cremad_1007,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1007_whisper.wav,5.0,neutral,,,0.8383,0.9690,0.7879,0.5000,3.7239,-0.2022
current_reference_guard,cremad_1007,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1007.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_whisper.wav,5.0,sad,,,0.7046,0.8374,0.6207,0.1250,3.7598,-0.1231
legacy_combined,cremad_1023,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_anger.wav,5.0,angry,angry,1,0.7306,0.9044,0.1911,0.2857,3.9775,+0.0158
current_reference_guard,cremad_1023,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_anger.wav,5.0,neutral,angry,0,0.9989,0.9861,0.2830,0.0714,3.9592,+0.0151
legacy_combined,cremad_1023,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1023_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9617,
current_reference_guard,cremad_1023,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1023.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9441,
