artifact,artifact_type,rows_total,speaker_count,style,raw_pseudo_count,artifact_selected_count,mixed_commonvoice_count,mixed_total_style_count,score_ge_0.35,score_ge_0.50,score_ge_0.60,score_ge_0.75,score_ge_0.90
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,sad,4833,4321,,,4592,3186,2487,1559,602
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,whisper,634,50,,,385,117,49,12,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,anger,50,50,,,50,50,50,50,50
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,confused,50,50,,,50,50,50,50,50
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,disgust,79,79,,,79,79,79,79,79
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,enunciated,50,50,,,50,50,50,50,50
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,fear,50,50,,,50,50,50,35,25
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,happy,80,80,,,80,80,80,80,80
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,neutral,116,116,,,116,116,116,116,116
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,sad,120,120,,,120,120,120,120,120
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_hybrid_extra_priority.pt,commonvoice,25910,13308,whisper,50,50,,,50,50,49,12,0
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,anger,,,50,141,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,confused,,,50,140,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,disgust,,,79,170,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,enunciated,,,50,140,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,fear,,,50,141,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,happy,,,80,174,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,neutral,,,116,210,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,sad,,,120,214,,,,,
embeddings/openvoice_mixed_teacher_cvrare_hybrid_extra_base.pt,mixed,14195,13402,whisper,,,50,140,,,,,
